,doc.id,date
720,720-B,11/4/1961
721,721-B,11/3/1961
722,722-B,11/3/1961
723,723-B,11/3/1961
724,724-B,11/6/1961
725,725-B,11/3/1961
726,726-B,11/10/1961
727,727-B,11/7/1961
728,728-B,11/1/1961
729,729-B,11/7/1961
730,730-B,11/7/1961
731,731-B,11/7/1961
732,732-B,11/7/1961
733,733-B,11/7/1961
734,734-B,11/8/1961
735,735-B,11/8/1961
736,736-B,11/8/1961
737,737-B,11/9/1961
738,738-B,11/9/1961
739,739-B,11/9/1961
740,740-B,11/9/1961
741,741-B,11/9/1961
742,742-B,11/9/1961
743,743-B,11/9/1961
744,744-B,11/9/1961
745,745-B,11/9/1961
746,746-B,11/10/1961
747,747-B,11/19/1961
748,748-B,11/13/1961
749,749-B,11/14/1961
750,750-B,11/15/1961
751,751-B,11/15/1961
752,752-B,11/15/1961
753,753-B,11/15/1961
754,754-B,11/15/1961
755,755-B,11/15/1961
756,756-B,11/15/1961
757,757-B,11/15/1961
758,758-B,11/16/1961
759,759-B,11/16/1961
760,760-B,11/16/1961
761,761-B,11/17/1961
762,762-B,11/17/1961
763,763-B,11/17/1961
764,764-B,11/17/1961
765,765-B,11/17/1961
766,766-B,11/17/1961
767,767-B,11/17/1961
768,768-B,11/18/1961
769,769-B,11/18/1961
770,770-B,11/18/1961
771,771-B,11/18/1961
772,772-B,11/18/1961
773,773-B,11/20/1961
774,774-B,11/20/1961
775,775-B,11/20/1961
776,776-B,11/20/1961
777,777-B,11/20/1961
778,778-B,11/20/1961
779,779-B,11/20/1961
780,780-B,11/26/1961
781,781-B,11/21/1961
782,782-B,11/21/1961
783,783-B,11/21/1961
784,784-B,11/20/1961
785,785-B,11/20/1961
786,786-B,11/20/1961
787,787-B,11/20/1961
788,788-B,11/20/1961
789,789-B,11/22/1961
790,790-B,11/22/1961
791,791-B,11/22/1961
792,792-B,11/23/1961
793,793-B,11/24/1961
794,794-B,11/29/1961
795,795-B,11/29/1961
796,796-B,11/28/1961
797,797-B,12/1/1961
798,798-B,12/1/1961
799,799-B,12/1/1961
800,800-B,12/1/1961
801,801-B,12/1/1961
802,802-B,12/1/1961
803,803-B,12/1/1961
804,804-B,12/1/1961
805,805-B,12/4/1961
806,806-B,12/3/1961
807,807-B,12/6/1961
808,808-B,12/4/1961
809,809-B,12/5/1961
810,810-B,12/8/1961
811,811-B,12/9/1961
812,812-B,12/10/1961
813,813-B,12/12/1961
814,814-B,12/12/1961
815,815-B,12/12/1961
816,816-B,12/12/1961
817,817-B,12/12/1961
818,818-B,12/13/1961
819,819-B,12/14/1961
820,820-B,12/15/1961
821,821-B,12/15/1961
822,822-B,12/13/1961
823,823-B,12/19/1961
824,824-B,12/20/1961
825,825-B,12/13/1961
826,826-B,12/13/1961
827,827-B,12/13/1961
828,828-B,12/31/1961
829,829-B,9/16/1961
830,830-B,9/16/1961
831,831-B,9/16/1961
832,832-B,9/16/1961
833,833-B,12/10/1961
834,834-B,9/16/1961
835,835-B,9/16/1961
836,836-B,9/16/1961
837,837-B,9/16/1961
838,838-B,9/16/1961
839,839-B,9/16/1961
840,840-B,9/16/1961
841,841-B,9/16/1961
842,842-B,1/5/1962
843,843-B,1/9/1962
844,844-B,1/4/1962
845,845-B,1/2/1962
846,846-B,1/2/1962
847,847-B,1/9/1962
848,848-B,1/9/1962
849,849-B,1/9/1962
850,850-B,1/9/1962
851,851-B,1/12/1962
852,852-B,1/12/1962
853,853-B,1/15/1962
854,854-B,1/15/1962
855,855-B,1/15/1962
856,856-B,1/15/1962
857,857-B,1/15/1962
858,858-B,1/15/1962
859,859-B,1/15/1962
860,860-B,1/15/1962
861,861-B,1/15/1962
862,862-B,1/15/1962
863,863-B,1/15/1962
864,864-B,1/16/1962
865,865-B,1/16/1962
866,866-B,1/6/1962
867,867-B,1/17/1962
868,868-B,1/17/1962
869,869-B,1/17/1962
870,870-B,1/18/1962
871,871-B,1/5/1962
872,872-B,1/5/1962
873,873-B,1/5/1962
874,874-B,1/5/1962
875,875-B,1/10/1962
876,876-B,1/10/1962
877,877-B,1/10/1962
878,878-B,1/20/1962
879,879-B,1/20/1962
880,880-B,1/22/1962
881,881-B,1/18/1962
882,882-B,1/22/1962
883,883-B,1/24/1962
884,884-B,1/24/1962
885,885-B,1/23/1962
886,886-B,1/25/1962
887,887-B,1/23/1962
888,888-B,1/29/1962
889,889-B,1/31/1962
890,890-B,2/1/1962
891,891-B,1/31/1962
892,892-B,2/1/1962
893,893-B,2/5/1962
894,894-B,2/9/1962
895,895-B,2/6/1962
896,896-B,2/7/1962
897,897-B,2/1/1962
898,898-B,2/7/1962
899,899-B,2/7/1962
900,900-B,2/13/1962
901,901-B,2/12/1962
902,902-B,2/10/1962
903,903-B,2/13/1962
904,904-B,2/13/1962
905,905-B,2/14/1962
906,906-B,2/15/1962
907,907-B,2/15/1962
908,908-B,2/16/1962
909,909-B,2/17/1962
910,910-B,2/19/1962
911,911-B,2/19/1962
912,912-B,2/19/1962
913,913-B,2/19/1962
914,914-B,2/19/1962
915,915-B,2/19/1962
916,916-B,2/19/1962
917,917-B,2/19/1962
918,918-B,2/20/1962
919,919-B,2/20/1962
920,920-B,2/20/1962
921,921-B,2/20/1962
922,922-B,2/19/1962
923,923-B,2/19/1962
924,924-B,2/22/1962
925,925-B,2/22/1962
926,926-B,2/7/1962
927,927-B,3/1/1962
928,928-B,3/1/1962
929,929-B,3/3/1962
930,930-B,3/3/1962
931,931-B,3/6/1962
932,932-B,3/6/1962
933,933-B,3/4/1962
934,934-B,3/7/1962
935,935-B,3/6/1962
936,936-B,3/6/1962
937,937-B,3/11/1962
938,938-B,3/11/1962
939,939-B,3/11/1962
940,940-B,3/11/1962
941,941-B,3/11/1962
942,942-B,3/11/1962
943,943-B,3/14/1962
944,944-B,3/14/1962
945,945-B,3/16/1962
946,946-B,3/15/1962
947,947-B,3/15/1962
948,948-B,3/15/1962
949,949-B,3/20/1962
950,950-B,3/20/1962
951,951-B,3/20/1962
952,952-B,3/16/1962
953,953-B,3/16/1962
954,954-B,3/22/1962
955,955-B,3/22/1962
956,956-B,3/22/1962
957,957-B,3/22/1962
958,958-B,3/22/1962
959,959-B,3/22/1962
960,960-B,3/22/1962
961,961-B,3/22/1962
962,962-B,3/23/1962
963,963-B,3/24/1962
964,964-B,3/25/1962
965,965-B,3/26/1962
966,966-B,3/29/1962
967,967-B,3/29/1962
968,968-B,3/15/1962
969,969-B,3/29/1962
970,970-B,4/2/1962
971,971-B,4/3/1962
972,972-B,4/4/1962
973,973-B,4/4/1962
974,974-B,4/3/1962
975,975-B,4/3/1962
976,976-B,4/3/1962
977,977-B,4/6/1962
978,978-B,4/6/1962
979,979-B,4/6/1962
980,980-B,4/4/1962
981,981-B,4/6/1962
